outlet,count,total_count
"WJBK-TV (Detroit, MI)",53,53
"KLAS-TV (Las Vegas, NV)",53,53
"WINK-TV (Fort Myers, FL)",53,53
"WJXT-TV (Jacksonville, FL)",53,53
"KTVI-TV (St. Louis, MO)",53,53
"WCCO-TV (Minneapolis, MN)",52,52
Tasting Table,52,52
"WEWS-TV (Cleveland, OH)",52,52
"WKBN-TV (Youngstown, OH)",52,52
"KXTV-TV (Sacramento, CA)",52,52
"WTVT-TV (Tampa, FL)",52,52
STAT,52,52
National Review,51,51
"WFSB-TV (Hartford, CT)",51,51
Bay News 9,51,51
"WTTG-TV (Washington, DC)",51,51
Christian Science Monitor,51,51
The Record (Bergen County),51,51
"WCNC-TV (Charlotte, NC)",51,51
"WDRB-TV (Louisville, KY)",50,50
"WOOD-TV (Grand Rapids, MI)",50,50
Austin American-Statesman,50,50
"KCRA-TV (Sacramento, CA)",50,50
Cosmopolitan,50,50
"KGW-TV (Portland, OR)",50,50
"KPBS-TV (San Diego, CA)",49,49
"WISH-TV (Indianapolis, IN)",49,49
"WXYZ-TV (Southfield, MI)",49,49
Arizona Daily Star,48,48
"WGN-AM (Chicago, IL)",48,48
Pioneer Press,48,48
"The Courier-Journal (Louisville, KY)",48,48
"WHDH-TV (Boston, MA)",48,48
"WRIC-TV (Richmond, VA)",48,48
"KNSD-TV (San Diego, CA)",47,47
Motor Trend,47,47
Sporting News,47,47
"WKRN-TV (Nashville, TN)",47,47
Pitchfork,47,47
"WCMH-TV (Columbus, OH)",47,47
"WFOR-TV (Miami, FL)",47,47
Mother Jones,47,47
"WAVY-TV (Portsmouth, VA)",47,47
HometownSource,47,47
"WTHR-TV (Indianapolis, IN)",47,47
The Real Deal,46,46
"WPXI-TV (Pittsburgh, PA)",46,46
Bon Appetit,46,46
Bangor Daily News,45,45
"KGTV-TV (San Diego, CA)",45,45
"KFMB-TV (San Diego, CA)",45,45
"WTVR-TV (Richmond, VA)",45,45
"KSWB-TV (San Diego, CA)",45,45
Boston Herald,45,45
"KMBC-TV (Kansas City, MO)",45,45
"WNCN-TV (Raleigh, NC)",45,45
"WOIO-TV (Cleveland, OH)",45,45
