outlet,count,total_count
Christianity Today,15,15
Memphis Flyer,15,15
Joplin Globe,15,15
The Lima News,15,15
"WLW-AM (Cincinnati, OH)",15,15
Autoweek,15,15
"WDIO-TV (Duluth, MN)",15,15
"WQHT-FM (New York, NY)",15,15
"WSKG-TV (Vestal, NY)",15,15
Food52,15,15
The News & Advance,15,15
Journal Inquirer,15,15
Messenger Inquirer,15,15
The Clarion-Ledger,15,15
Phoenix New Times,15,15
WOI-TV,15,15
Spectrum News Triad,15,15
The Bakersfield Californian,15,15
"KPAX-TV (Missoula, MT)",15,15
Herald & Review,15,15
The Parkersburg News & Sentinel,15,15
Serious Eats,15,15
"KRTV-TV (Great Falls, MT)",15,15
"KGET-TV (Bakersfield, CA)",15,15
The Spectrum & Daily News,14,14
Fashionista,14,14
"WBNS-FM (Columbus, OH)",14,14
"The Republican (Springfield, MA)",14,14
"WZGC-FM (Atlanta, GA)",14,14
Sioux City Journal,14,14
American Public Media,14,14
"WPHL-TV (Philadelphia, PA)",14,14
Evansville Courier & Press,14,14
"KULR-TV (Billings, MT)",14,14
"WNCF-TV (Montgomery, AL)",14,14
Riverfront Times,14,14
Bluefield Daily Telegraph,14,14
"KBBI-AM (Homer, AK)",14,14
"KLRT-TV (Little Rock, AR)",14,14
"WJRT-TV (Flint, MI)",14,14
The Greeneville Sun,14,14
CQ Roll Call,14,14
National Journal,14,14
NBC Sports Philadelphia,14,14
Johnson City Press,14,14
Nevada Appeal,14,14
"KMVP-FM (Phoenix, AZ)",14,14
Phoenix Business Journal,14,14
"KAIT-TV (Jonesboro, AR)",14,14
Out Magazine,14,14
The Daily lowan,14,14
"WCCO-AM (Minneapolis, MN)",14,14
"KION-TV (Salinas, CA)",14,14
Bowling Green Daily News,14,14
Jefferson City News Tribune,14,14
Mississippi Public Broadcasting,14,14
Relevant Radio,14,14
"WVXU-FM (Cincinnati, OH)",13,13
The New Stack,13,13
Fairbanks Daily News-Miner,13,13
The Southern Illinoisan,13,13
Common Dreams,13,13
"WXYT-FM (Detroit, MI)",13,13
Willamette Week,13,13
"Times Leader (Wilkes-Barre, PA)",13,13
Grazia USA,13,13
La Noticia,13,13
Health,13,13
The Brunswick News,13,13
Brainerd Dispatch,13,13
Helena Independent Record,13,13
"WXXV-TV (Gulfport, MS)",13,13
"WGGB-TV (Springfield, MA)",13,13
Milwaukee Business Journal,13,13
"WWL-AM/FM (New Orleans, LA)",13,13
Norfolk Daily News,13,13
SPIN,13,13
Springfield News-Leader,13,13
"WUWM-FM (Milwaukee, WI)",13,13
Kingsport Times-News,13,13
Summit Daily News,13,13
"KBLR-TV (Las Vegas, NV)",13,13
303 Magazine,13,13
Portland Tribune,13,13
America's Test Kitchen,13,13
The Manual,13,13
City & State NY,13,13
"WYMS-FM (Milwaukee, WI)",13,13
Boise State Public Radio,13,13
Lehigh Valley Live,13,13
Puget Sound Business Journal,13,13
Jezebel,13,13
"WPEN-FM (Bala Cynwyd, PA)",13,13
Food Network Magazine,13,13
Mixmag,13,13
"WPDE-TV (Conway, SC)",13,13
Upgraded Points,13,13
National Catholic Reporter,13,13
"KCET-TV (Burbank, CA)",13,13
Saveur,12,12
Capital Gazette,12,12
The Charleston City Paper,12,12
Stamford Advocate,12,12
Steamboat Pilot & Today,12,12
Macomb Daily,12,12
Belleville News-Democrat,12,12
Agri-Pulse,12,12
Morning Sentinel,12,12
Montana Standard,12,12
Park Record,12,12
Boston Business Journal,12,12
"WKDZ-FM (Cadiz, KY)",12,12
Peoria Journal Star,12,12
Philadelphia Daily News,12,12
South Florida Business Journal,12,12
"WHO-AM (Des Moines, IA)",12,12
The Newnan Times-Herald,12,12
Mundo Hispanico,12,12
Buffalo Business First,12,12
Autoblog,12,12
"WXXI-TV (Rochester, NY)",12,12
Kenosha News,12,12
"KILT-AM (Houston, TX)",12,12
Cincinnati Business Courier,12,12
"WVVA-TV (Bluefield, WV)",12,12
"KSNB-TV (Hastings, NE)",12,12
Journal-News,12,12
Defense One,12,12
"KUAT-TV (Tucson, AZ)",12,12
"WBAP-AM (Dallas, TX)",12,12
Centre Daily Times,12,12
"WDTV-TV (Bridgeport, WV)",12,12
"KTCK-AM (Dallas, TX)",12,12
The Stranger,12,12
"KRMG-FM (Tulsa, OK)",12,12
The Waterloo-Cedar Falls Courier,12,12
Wyoming Tribune Eagle,12,12
The Root,12,12
Government Executive,11,11
San Antonio Business Journal,11,11
"KUER-FM (Salt Lake City, UT)",11,11
Montgomery Advertiser,11,11
The Washington Blade,11,11
"KERA-FM (Dallas, TX)",11,11
The Advocate Magazine,11,11
"WLTV-TV (Miami, FL)",11,11
The Herald-Times,11,11
Southeast Missourian,11,11
"KSAZ-TV (Phoenix, AZ)",11,11
"WHIO-AM (Dayton, OH)",11,11
Talking Points Memo,11,11
Portland Business Journal,11,11
The Michigan Daily,11,11
"KTVH-TV (Helena, MT)",11,11
The Marietta Daily Journal,11,11
The Telegraph (Macon),11,11
"KTSF-TV (Brisbane, CA)",11,11
Daily Northwestern,11,11
Daily Herald (Provo Utah),11,11
Shepherd Express,11,11
The State Journal-Register,11,11
Burlington County Times,11,11
Clash,11,11
Mankato Free Press,11,11
Valley News,11,11
"The Daily Record (Wooster, OH)",11,11
Houston Business Journal,11,11
The Pilot,11,11
The Daily Progress,11,11
"WSTM-TV (Syracuse, NY)",11,11
Flathead Beacon,11,11
Star-Herald,11,11
"WPOZ-FM (Altamonte Springs, FL)",11,11
"KBOI-TV (Boise, ID)",11,11
Topeka Capital-Journal,11,11
"WZDC-TV (Washington, DC)",11,11
Ebony,11,11
Nashville Business Journal,11,11
Triangle Business Journal,11,11
Fayetteville Observer,11,11
Federal News Network,11,11
Pinal Central,11,11
Altoona Mirror,10,10
Greenwich Time,10,10
Brattleboro Reformer,10,10
Columbus Business First,10,10
The Caledonian-Record,10,10
Punchbowl,10,10
Greeley Tribune,10,10
Philadelphia Business Journal,10,10
"WTMX-FM (Chicago, IL)",10,10
Travel Channel,10,10
Austin Business Journal,10,10
Rutland Herald,10,10
"KOSU-FM (Stillwater, Oklahoma)",10,10
The Dominion Post,10,10
"KTMY-FM (Minneapolis, MN)",10,10
Crooks and Liars,10,10
The Baffler,10,10
Post Independent,10,10
"KHSL-TV (Chico, CA)",10,10
Washington City Paper,10,10
"KIMT-TV (Mason City, IA)",10,10
Ames Tribune,10,10
The Times West Virginian,10,10
York News-Times,10,10
The Ellsworth American,10,10
The Coloradoan,10,10
"KCAU-TV (Sioux City, IA)",10,10
Reno Gazette-Journal,10,10
"WPMI-TV (Mobile, AL)",10,10
The Times and Democrat,10,10
Pittsburgh Business Times,10,10
Midland Daily News,10,10
"WYSO-FM (Dayton, OH)",10,10
Tampa Bay Business Journal,10,10
St. Louis American,10,10
"KUTX-FM (Austin, TX)",10,10
The Norwalk Hour,10,10
Charlotte Business Journal,10,10
The News-Enterprise,10,10
Spectrum News Coastal NC,10,10
Kentucky Sports Radio,10,10
Idaho Mountain Express,10,10
The Register-Guard,10,10
"WQXR-FM (New York, NY)",10,10
Philadelphia Tribune,10,10
Daily Independent,10,10
St. Louis Business Journal,10,10
Idaho State Journal,10,10
Casper Star-Tribune,10,10
"KTVW-TV (Phoenix, AZ)",10,10
"KTVZ-TV (Bend, OR)",10,10
Diario las Americas,10,10
The Ledger,10,10
Loveland Reporter-Herald,10,10
"WXTU-FM (Philadelphia, PA)",9,9
Bless You Boys,9,9
The American Conservative,9,9
"Herald Journal (Logan, UT)",9,9
"WMMR-FM (Philadelphia, PA)",9,9
Spectrum News 1 Worcester,9,9
"WDVE-FM (Pittsburgh, PA)",9,9
KMA Radio,9,9
Moscow Pullman Daily News,9,9
Salt Lake City Weekly,9,9
Arizona Daily Sun,9,9
"KRWG-TV (Las Cruces, NM)",9,9
"WKTU-FM (New York, NY)",9,9
Arkansas Times,9,9
Retail Dive,9,9
"The Daily Courier (Prescott, AZ)",9,9
StarNews,9,9
"KNPR-FM (Las Vegas, NV)",9,9
Orlando Business Journal,9,9
"WOGL-FM (Philadelphia, PA)",9,9
"The Daily Independent (Ashland, KY)",9,9
Fremont Tribune,9,9
"KNSI-FM (St. Cloud, MN)",9,9
KNUJ (AM),9,9
"KNWN-AM (Seattle, WA)",9,9
"WVNS-TV (Ghent, WV)",9,9
"KBJR-TV (Duluth, MN)",9,9
"WRTI-FM (Philadelphia, PA)",9,9
Kane County Chronicle,9,9
"WAGM-TV (Presque Isle, ME )",9,9
"KDKA-AM (Pittsburgh, PA)",9,9
The Desert Review,9,9
"KAKW-TV (Austin, TX)",9,9
"WKYS-FM (Washington, DC)",9,9
Cape May County Herald,9,9
Hickory Daily Record,9,9
Birmingham Business Journal,9,9
Daily Local News,9,9
Montana Public Radio,9,9
AL DIA News,9,9
"KFAN-FM (Minneapolis, MN)",9,9
"KFYI-AM (Phoenix, AZ)",9,9
Louisville Business First,9,9
"KTRH-AM (Houston, TX)",9,9
Albany Business Review,9,9
"KFXX-AM (Portland, OR)",9,9
KCAW Radio,9,9
Cut Bank Pioneer Press,9,9
"KGAN-TV (Cedar Rapids, IA)",9,9
Lawrence Journal-World,9,9
"WXRT-FM (Chicago, IL)",9,9
The Sumter Item,9,9
"WOR-AM (New York, NY)",9,9
"WBHM-FM (Birmingham, AL)",9,9
Memphis Business Journal,9,9
"WOKV-FM (Jacksonville, FL)",9,9
Bozeman Daily Chronicle,9,9
"WSFL-TV (Ft Lauderdale, FL)",9,9
"KMIR-TV (Palm Desert, CA)",9,9
The Kim Komando Show,9,9
"The Herald-Journal (Spartanburg, SC)",9,9
Denver Business Journal,9,9
"WSHM-TV (Springfield, MA)",9,9
The Journal Times,9,9
"WGBO-TV (Chicago, IL)",8,8
North Platte Telegraph,8,8
Cook's Illustrated,8,8
"WGCI-FM (Chicago, IL)",8,8
The Sun News,8,8
The Manhattan Mercury,8,8
"WFSH-FM (Atlanta, GA)",8,8
RedState,8,8
"WOBM-FM (Toms River, NJ)",8,8
Pacific Business News,8,8
The State News,8,8
Concord Monitor,8,8
Tuscaloosa News,8,8
Inside Health Policy,8,8
Standard-Examiner,8,8
The Daily Journal,8,8
"WVTF-FM (Roanoke, VA)",8,8
Beaver County Times,8,8
"WTMD-FM (Towson, MD)",8,8
The Post-Star,8,8
"WXKS-FM (Boston, MA)",8,8
Realtor.com,8,8
Dallas Business Journal,8,8
"WXBK-FM (New York,NY)",8,8
Holland Sentinel,8,8
Echo Press,8,8
Durango Herald,8,8
The Quietus,8,8
Tennis Magazine,8,8
One America News Network,8,8
The Reader,8,8
Columbia Daily Tribune,8,8
Monroe News,8,8
"WENY-TV (Horseheads, NY)",8,8
"KUHF-FM (Houston, TX)",8,8
The Cullman Tribune,8,8
"WBNG-TV (Johnson City, NY)",8,8
"WBLS-FM (New York, NY)",8,8
Leader-Telegram,8,8
"The Times Herald (Port Huron, MI)",8,8
The Index-Journal,8,8
"WKRK-FM (Cleveland, OH)",8,8
"WGTS-FM (Rockville, MD)",8,8
The Santa Clarita Valley Signal,8,8
Las Vegas Weekly,8,8
"The Times (Gainesville, GA)",8,8
"WHMI-FM (Livingston, MI)",8,8
"WKSU-FM (Kent, OH)",8,8
Grand Junction Daily Sentinel,8,8
"KUCB-FM (Unalaska, AK)",8,8
"KSFC-FM (Spokane, WA)",8,8
Sandy Journal,8,8
"WVEE-FM (Atlanta, GA)",8,8
Sun Herald,8,8
Mondoweiss,8,8
Times-News (Idaho),8,8
ShopHQ,8,8
Rome News-Tribune,8,8
American Press,8,8
Citizen Tribune,8,8
"WIYY-FM (Baltimore, MD)",8,8
Wyoming News Now,8,8
"Daily Journal (Park Hills, MO)",8,8
Gaston Gazette,8,8
The Commercial Dispatch,8,8
Daily Pilot,8,8
Mid-Atlantic Sports Network (MASN),8,8
Gillette News Record,8,8
"WMGK-FM (Bala Cynwyd, PA)",8,8
Richmond Register,8,8
"WTAP-TV (Parkersburg, WV)",8,8
"KNOE-TV (Monroe, LA)",8,8
Indy Week,8,8
Foreign Affairs,8,8
"WQAM-AM (Miami, FL)",8,8
Rock Hill Herald,8,8
The Citizen,7,7
Post Register,7,7
Commonwealth Journal,7,7
"WTVN-AM (Columbus, OH)",7,7
POLITICO Magazine,7,7
The Pueblo Chieftain,7,7
Athens Banner-Herald,7,7
Conway Daily Sun,7,7
"WBQT-FM (Boston, MA)",7,7
St. Clair Times,7,7
Kearney Hub,7,7
Air 1,7,7
"KDEN-TV (Denver, CO)",7,7
"KFBB-TV (Great Falls, MT)",7,7
Taos News,7,7
Alaska's News Source,7,7
Alton Telegraph,7,7
Texarkana Gazette,7,7
"WXPR-FM (Rhinelander, WI)",7,7
"WHAS-AM (Louisville, KY)",7,7
Explore Clarion,7,7
Santa Fe Reporter,7,7
"WHTZ-FM (New York, NY)",7,7
Zip06,7,7
"WLTW-FM (New York, NY)",7,7
"KBMX-FM (Duluth, MN)",7,7
KBMV-FM 107.1,7,7
Fleet Owner,7,7
"WUKY-FM (Lexington, KY)",7,7
Florence Morning News,7,7
Courier News,7,7
"WXNY-FM (New York, NY)",7,7
Corbin Times-Tribune,7,7
Faribault Daily News,7,7
Lake Geneva Regional News,7,7
Burlington Free Press,7,7
"KZZP-FM (Phoenix, AZ)",7,7
Detroit Metro Times,7,7
The Daily Nonpareil,7,7
Las Cruces Sun-News,7,7
"WICZ-TV (Vestal, NY)",7,7
"WKLH-FM (Milwaukee, WI)",7,7
Dothan Eagle,7,7
Leo Weekly,7,7
The Meridian Star,7,7
"KTVF-TV (Fairbanks, AK )",7,7
"WFBC-FM (Greenville, SC)",7,7
WFCR FM,7,7
Loudoun Times-Mirror,7,7
"WTUG-FM2 (Tuscaloosa, AL)",7,7
The Journal-Courier,7,7
"WKTN-FM (Kenton, OH)",7,7
"KRCB-TV (Rohnert Park, CA)",7,7
Bronx Times,7,7
Maryland Coast Dispatch,7,7
The State Press,7,7
Mason City Globe Gazette,7,7
Iowa City Press-Citizen,7,7
Journal & Courier,7,7
Mount Airy News,7,7
The Uganda Observer,7,7
"WKSC-FM (Chicago, IL)",7,7
"WFMD-AM (Frederick, MD)",7,7
The Intelligencer and Wheeling News Register,7,7
"The News Herald (Southgate, MI)",7,7
"WFMT-FM (Chicago, IL)",7,7
Petoskey News-Review,7,7
Forsyth County News,7,7
Columbus Ledger-Enquirer,7,7
"The Daily Advertiser (Lafayette, LA)",7,7
Carteret County News-Times,7,7
beIN SPORTS,7,7
Foster's Daily Democrat,7,7
"KNAU-FM (Flagstaff, AZ)",7,7
The News-Star,7,7
"KMVT-TV (Twin Falls, ID)",7,7
Statescoop,6,6
Cape Gazette,6,6
"WNCX-FM (Cleveland, OH)",6,6
The Philadelphia Gay News,6,6
"WUTR-TV (Utica, NY)",6,6
The Robesonian,6,6
SHAPE,6,6
"KXLF-TV (Butte, MT)",6,6
"WBJC-FM (Baltimore, MD)",6,6
Sentinel Echo,6,6
Cecil Whig,6,6
"WVII-TV (Bangor, ME)",6,6
"WHSV-TV (Harrisonburg, VA)",6,6
Sedalia Democrat,6,6
Mergers & Acquisitions,6,6
CyberScoop,6,6
"KTBY-TV (Anchorage, AK)",6,6
"KTAR-AM (Phoenix, AZ)",6,6
Middletown Press,6,6
"WBZZ-FM (Pittsburgh, PA)",6,6
"WHTA-FM (Atlanta, GA)",6,6
The Leaf-Chronicle,6,6
"WENJ-FM (Northfield, NJ)",6,6
The Pathway,6,6
Worthington Daily Globe,6,6
"WPCK-FM (Green Bay, WI)",6,6
Hutchinson News,6,6
The Star Press,6,6
"WKFR-FM (Kalamazoo, MI)",6,6
The Oak Ridger,6,6
"KTWO-AM (Casper, WY)",6,6
Emporia Gazette,6,6
KYUK,6,6
SW News Media,6,6
"WMBC-TV (West Caldwell, NJ)",6,6
"WUSN-FM (Chicago, IL)",6,6
"WYEP-FM (Pittsburgh, PA)",6,6
The Morning Sun,6,6
Ledger Independent,6,6
"KUVO-FM (Denver, CO)",6,6
Springfield Business Journal,6,6
Hartford Business Journal,6,6
"KDWB-FM (St. Louis Park, MN)",6,6
St. Albans Daily Messenger,6,6
El Diario de El Paso,6,6
Environmental Health News,6,6
Stereogum,6,6
Longmont Times-Call,6,6
"WEAA-FM (Baltimore, MD)",6,6
Jacksonville Business Journal,6,6
Norwich Bulletin,6,6
Midwest Messenger,6,6
"WRIF-FM (Detroit, MI)",6,6
The FADER,6,6
"WPST-FM (Princeton, NJ)",6,6
"WJLK-FM (Toms River, NJ)",6,6
Cody Enterprise,6,6
"WDOK-FM (Cleveland, OH)",6,6
WILK-AM (NewsRadio WILK ),6,6
"KOOL-FM (Phoenix, AZ)",6,6
"KALV-FM (Phoenix, AZ)",6,6
"WAMJ-FM (Atlanta, GA)",6,6
Northwest Florida Daily News,6,6
"KASA-TV (Albuquerque, NM)",6,6
WUBL-FM (Atlanta GA),6,6
"Daily Record (Parsippany, NJ)",6,6
The Daily Iberian,6,6
"KPTM-TV (Omaha, NE)",6,6
"WGBH-FM (Boston, MA)",6,6
"KNOP-TV (North Platte, NE )",6,6
KNOM-FM,6,6
Paducah Sun,6,6
"FOX Sports ( Cleaveland, Ohio)",6,6
"KLAQ-FM (El Paso, TX)",6,6
Pride of Detroit,6,6
"KNME-TV (Albuquerque, NM)",6,6
"WOMC-FM (Detroit, MI)",6,6
Powell Tribune,6,6
Columbus Telegram,6,6
Baton Rouge Business Report,6,6
"WIVT-TV (Binghamton, NY)",6,6
"WCBS-FM (New York, NY)",6,6
The Duke Chronicle,6,6
Williamson Herald,6,6
Navajo Times,6,6
"KSFI-FM (Salt Lake City, UT)",6,6
"KRCL-FM (Salt Lake City, UT)",6,6
"KSLX-FM (Phoenix, AZ)",6,6
Current Affairs,6,6
Murray Ledger & Times,6,6
Watauga Democrat,6,6
"KQRS-FM (Minneapolis, MN)",6,6
The Westerly Sun,6,6
"WAWZ-FM (Zarephath, NJ)",6,6
Rockford Register Star,6,6
NBC Sports Boston,6,6
"WOKQ-FM (Dover, NH)",6,6
KRSK-FM (P105.1 The Buzz ),6,6
Times Argus,6,6
Salisbury Post,6,6
The Paris Post-Intelligencer,5,5
The Jewish Standard,5,5
The Daily Home,5,5
Texas Farm Bureau,5,5
"WDHA-FM ( Morristown, NJ)",5,5
"WFMK-FM (Lansing, MI)",5,5
The Valley Breeze,5,5
The Town Talk,5,5
The Register-Herald,5,5
Utah Public Radio,5,5
"WINA-AM (Charlottesville, VA)",5,5
The Corry Journal,5,5
"WIXX-FM (Green Bay , WI)",5,5
The Journal,5,5
"WETA-TV (Arlington, VA)",5,5
The Statesville Record & Landmark,5,5
"WBSM-AM (Fairhaven, MA)",5,5
"WFPG-FM (Atlantic City, NJ)",5,5
The State Journal,5,5
"WOAY-TV (Oak Hill, WV)",5,5
"WBIG-FM (Rockville, MD)",5,5
"WJOX-FM (Birmingham, AL)",5,5
"WALR-FM (Atlanta, GA)",5,5
"WNNE-TV (White River Junction, VT)",5,5
"WFXB-TV (Myrtle Beach, SC)",5,5
The Daily Princetonian,5,5
"WETA-FM (Arlington, VA)",5,5
WFMU,5,5
The Arkansas Educational Television Network,5,5
"WBJB-FM (Lincroft, NJ)",5,5
"Watertown Daily Times (Watertown, WI)",5,5
The Daily News Journal,5,5
The Baxter Bulletin,5,5
The Catholic Spirit,5,5
"WLFJ-FM (Greenville, SC)",5,5
"WIOQ-FM (Bala Cynwyd, PA)",5,5
Montana Kaimin,5,5
Starkville Daily News,5,5
Payson Roundup,5,5
"KFTV-TV (Fresno, CA)",5,5
NorthWest Herald,5,5
"KFLR-FM (Tucson, AZ)",5,5
"KEEY-FM (St. Louis Park, MN)",5,5
"KECI-TV (Missoula, MT)",5,5
"KDTV-TV (San Francisco, CA)",5,5
Oprah Winfrey Network (OWN),5,5
Oshkosh Northwestern,5,5
"KCIM-AM (Carroll, IA)",5,5
KBOO-FM,5,5
"KBOI-AM (Boise, ID)",5,5
Los Alamos Daily Post,5,5
Pahrump Valley Times,5,5
"WRNJ-AM (Hackettstown, NJ)",5,5
Rio Grande Sun,5,5
KAWC-FM,5,5
Petersen's Hunting Magazine,5,5
"KAMX-FM (Austin, TX)",5,5
"WWFM-FM (Trenton, NJ)",5,5
International Trade Today,5,5
Inside U.S. Trade,5,5
Home Shopping Network (HSN),5,5
Hastings Tribune,5,5
Harford County Aegis,5,5
Hannibal Courier-Post,5,5
"WWPR-FM (New York, NY)",5,5
Ravalli Republic,5,5
Great Falls Tribune,5,5
"KGON-FM (Portland, OR )",5,5
"KGOU Radio (Oklahoma City, OK)",5,5
"KGVO-AM (Missoula,MT)",5,5
"KHAK-FM (Cedar Rapids, IA)",5,5
Livingston Daily Press & Argus,5,5
"WSIG-FM (Harrisonburg, VA)",5,5
Leader Publications (Missouri),5,5
"WSJO-FM (Northfield, NJ)",5,5
Maui Time,5,5
Mega TV,5,5
"KXNO-AM (Des Moines, IA)",5,5
"KWEN-FM (Tulsa, OK)",5,5
"KUNR-FM (Reno, NV)",5,5
"KUMU-FM (Honolulu, HI)",5,5
"KTIS-FM (Saint Paul, MN)",5,5
Monadnock Ledger-Transcript,5,5
Monett Times,5,5
"KTBZ-FM (Houston, TX)",5,5
Montclair Local,5,5
"KSKA-FM (Anchorage, AK)",5,5
"KROC-FM (Rochester, MN)",5,5
"KPVI-TV (Pocatello, ID)",5,5
"KPTS-TV (Wichita, KS)",5,5
"KPNT-FM (Cockeysville, MD)",5,5
"KOFY-TV (San Francisco, CA)",5,5
"KOCE-TV (Costa Mesa, CA)",5,5
Nevada Sports Net,5,5
"KMLE-FM (Phoenix, AZ)",5,5
New Jersey Hills Media Group,5,5
"KKLZ-FM (Las Vegas, NV)",5,5
"KIDK-TV (Idaho Falls, ID)",5,5
GazetteXtra,5,5
"KBFX-FM (Anchorage, AK)",5,5
"WYRD-FM (Greenville, SC)",5,5
Alaska Magazine,5,5
Bonner County Daily Bee,5,5
Seattle Daily Journal of Commerce,5,5
Bennington Banner,5,5
Dover Post,5,5
Sandusky Register,5,5
Daily Inter Lake,5,5
East Valley Tribune,5,5
Shelbyville Times-Gazette,5,5
Yellowstone Public Radio,5,5
Albuquerque Business First,5,5
Coastal Point,5,5
Clinton Herald,5,5
"Examiner (Independence, MO)",5,5
Explore Big Sky,5,5
Cleveland Scene,5,5
Rio Rancho Observer,5,5
Frankfort State Journal,5,5
Addison County Independent,5,5
Silver City Daily Press,5,5
Business Lexington,5,5
Alabama Public Radio,5,5
FedScoop,5,5
"KRSU-TV (Claremore, OK)",4,4
"KMXB-FM (Las Vegas, NV)",4,4
Uncut Magazine,4,4
"WKBU-FM (New Orleans, LA)",4,4
"KNBA-FM (Anchorage, AK)",4,4
"KSII-FM (El Paso, TX)",4,4
"KRXO-FM (Oklahoma City, OK)",4,4
The Valdosta Daily Times,4,4
"KOOP-FM (Hornsby, TX)",4,4
"KNSO-TV (Fresno, CA)",4,4
"KOPB-FM (Portland, OR)",4,4
"WTTA-TV (Tampa, FL)",4,4
"KQMT-FM (Denver, CO)",4,4
Boothbay Register,4,4
"Times Leader (Princeton, KY)",4,4
Yellowhammer News,4,4
"KSOS-FM (Las Vegas, NV)",4,4
Brookline TAB,4,4
Tofugu,4,4
"WKQX-FM (Chicago, IL)",4,4
Bluffton Today,4,4
Game And Fish Magazine,4,4
"KSTP-FM (Minneapolis, MN)",4,4
La Semana Del Sur,4,4
"WMGQ-FM (Somerset, NJ)",4,4
Litchfield Park/Goodyear Independent,4,4
"The Messenger (Madisonville, KY)",4,4
"WSJM-FM (Benton Harbor, MI)",4,4
The Mining Journal,4,4
Air Transport World,4,4
"WPFO-TV (Portland, ME)",4,4
Las Vegas Tribune,4,4
The Natchez Democrat,4,4
Lake Sun Leader,4,4
Laconia Daily Sun,4,4
Labor Notes,4,4
Albany Herald,4,4
"WLYF-FM (Miami, FL)",4,4
"WMTR-AM (Cedar Knolls, NJ)",4,4
"WSTR-FM (Atlanta, GA)",4,4
"KWYB-TV (Butte, MT)",4,4
"WSVA-AM (Harrisonburg, VA)",4,4
"KUPD-FM (Tempe, AZ)",4,4
"WLS-FM (Chicago, IL)",4,4
Bartlesville Radio,4,4
The Sentinel Colorado,4,4
The Sentinel-Record,4,4
The Sheridan Press,4,4
WORT-FM,4,4
"KUDD-FM (Salt Lake City, UT)",4,4
"WTVI-TV (Charlotte, NC)",4,4
betanews,4,4
Beatrice Daily Sun,4,4
Cleveland Daily Banner,4,4
"KMCI-TV (Kansas City, MO)",4,4
"WCDX-FM (Richmond, VA)",4,4
El Tiempo Las Vegas,4,4
El Tiempo Latino,4,4
Elko Daily Free Press,4,4
"KATH-TV (Juneau, AK)",4,4
Enterprise-Journal,4,4
"WDAS-FM (Philadelphia, PA)",4,4
"KAET-TV (Phoenix, AZ)",4,4
Juneau Empire,4,4
Journal Sun,4,4
"WWDC-FM (Washington, DC)",4,4
Iroquois County Time-Republic,4,4
"WHEB-FM (Portsmouth, NH)",4,4
"WNIR-FM (Akron, OH)",4,4
Idaho Public Television,4,4
Idaho Business Review,4,4
"WNEW-FM (New York, NY)",4,4
West Hawaii Today,4,4
FACT Magazine,4,4
Hawaii Tribune-Herald,4,4
"WGRD-FM (Grand Rapids, MI)",4,4
Fond du Lac Reporter,4,4
"WMYX-FM (Hales Corners, WI)",4,4
Greenville Journal,4,4
"WFIR-AM (Roanoke, VA)",4,4
Green Car Reports,4,4
"WMZQ-FM (Rockville, MD)",4,4
Garden Island Hawaii,4,4
"KAZT-TV (Prescott, AZ)",4,4
"WHUT-TV (Washington, DC)",4,4
"KLVX-TV (Las Vegas, NV)",4,4
"WIBA-AM (Madison, WI)",4,4
Valley Journal,4,4
"KLUV-FM (Dallas, TX)",4,4
"KLUC-FM (Las Vegas, NV )",4,4
"KLGR-AM (Redwood Falls, MN)",4,4
Gaming Today,4,4
"WOCL-FM (Longwood, FL)",4,4
Warren Times Observer,4,4
"KILT-FM (Houston, TX)",4,4
Washington Missourian,4,4
"KIDO-AM (Boise, ID)",4,4
"KHMX-FM (Houston, TX)",4,4
"KGPE-TV (Fresno, CA)",4,4
Coffee or Die Magazine,4,4
"WIZM-AM (La Crosse, WI)",4,4
"KFXO-TV (Bend, OR)",4,4
"WBBM-FM (Chicago, IL)",4,4
Commentary Magazine,4,4
WITF-FM,4,4
"WUTV-TV (Buffalo, NY)",4,4
"WBKR-FM (Owensboro, KY)",4,4
Danbury News-Times,4,4
"WVAZ-FM (Chicago, IL)",4,4
"WYCD-FM (Detroit, MI)",4,4
"KCTR-FM (Billings, MT)",4,4
"KCIX-FM (Boise, ID)",4,4
Detroit Bad Boys,4,4
DIY Network,4,4
Log Cabin Democrat,4,4
"KMCH-FM (Manchester, Iowa)",4,4
"WMJX-FM (Boston, MA)",4,4
Teton Valley News,4,4
"WPUR-FM (Northfield, NJ)",4,4
Rumba 100.3,4,4
"WPTE-FM (Virginia Beach, VA)",4,4
Register Citizen,4,4
Real Change,4,4
Radio Iowa,4,4
The Cheraw Chronicle & The Chesterfield Advertiser,4,4
Portland Phoenix,4,4
Philadelphia Weekly,4,4
The Herald-Chronicle,4,4
The Herald Times Reporter,4,4
"WROR-FM (Boston, MA)",4,4
Opelika-Auburn News,4,4
The Daily Pennsylvanian,4,4
The Daily Post-Athenian,4,4
The Gleaner,4,4
Nashua Telegraph,4,4
The Daily Telegram,4,4
The Forecaster,4,4
The Flint Journal,4,4
The Express-Times,4,4
"The Dispatch (Lexington, NC)",4,4
New Home Source,4,4
Seattle Gay News,4,4
ProFootballTalk,4,4
Southwest Times Record,4,4
"WQMP-FM (Orlando, FL)",4,4
Machias Valley News Observer,4,4
"WKIS-FM (Miami, FL)",3,3
Beaverton Valley Times,3,3
Ottumwa Courier,3,3
"WLMG-FM (New Orleans, LA)",3,3
"KCOY-TV (Santa Maria, CA)",3,3
